pt359,5929996.7434,2243699.3984,171.4626,op
pt360,5929996.0914,2243696.8543,171.4133,gaz
pt361,5929995.1189,2243699.2110,171.3465,z
pt362,5929993.3463,2243702.7091,171.3737,z
pt363,5929993.6781,2243705.8846,171.4483,kol
pt364,5929990.5309,2243708.1571,171.3656,z
pt365,5929990.3426,2243708.0818,171.3222,z
pt366,5929992.8841,2243709.1816,171.4598,dor
pt367,5929988.8961,2243712.1709,171.4925,z
pt368,5929989.6218,2243712.5236,171.4769,der
pt369,5929990.6581,2243713.5290,171.4249,j4
pt370,5929988.3656,2243719.7209,171.3954,j4
pt371,5929987.7623,2243717.4529,171.2448,ku
pt372,5929987.2657,2243718.3127,171.1715,ku
pt373,5929984.6152,2243720.8130,171.2430,z
pt374,5929984.1187,2243721.8435,171.2618,z
pt375,5929985.9812,2243723.0822,171.4074,j4
pt376,5929982.6266,2243726.5650,171.2321,bmv
pt377,5929982.8105,2243727.6766,171.2491,op
pt378,5929982.0371,2243730.1460,171.2355,ku
pt379,5929981.1331,2243730.5948,171.1518,ku
pt380,5929980.3058,2243732.8813,171.1823,ku
pt381,5929979.0909,2243732.5011,171.0879,z
pt382,5929978.9370,2243732.3788,171.1373,z
pt383,5929980.5856,2243734.2027,171.3649,j4
pt384,5929976.6578,2243742.0555,171.3202,j4
pt385,5929974.9548,2243740.5937,171.1476,gaz
pt386,5929975.2626,2243740.2086,171.1137,cem
pt387,5929976.5206,2243740.8599,171.3388,cem
pt388,5929977.4755,2243738.8593,171.3568,cem
pt389,5929976.3676,2243739.4865,171.5285,kol
pt390,5929975.5395,2243742.5200,171.2679,cem
pt391,5929974.9180,2243743.7725,171.2729,cem
pt392,5929974.0777,2243743.1634,171.2949,z
pt393,5929974.0140,2243742.4816,171.9134,z
pt394,5929975.8085,2243744.9504,171.4316,dor
pt395,5929971.0603,2243751.2139,171.2518,op
pt396,5929968.6734,2243753.2372,171.1703,z
pt397,5929970.1248,2243752.7962,171.1933,tua
pt398,5929981.3551,2243748.4682,171.4143,z
pt399,5929981.6742,2243748.6953,171.3696,z
pt400,5929982.4494,2243744.3057,171.4161,cem
pt401,5929983.2672,2243744.7800,171.4830,z
pt402,5929983.2829,2243744.7736,171.4929,cem
pt403,5929983.1335,2243742.7411,171.4215,cem
pt404,5929983.8662,2243743.6300,171.4399,z
pt405,5929982.6869,2243742.8466,171.3821,j6
pt406,5929986.5585,2243736.6685,171.5031,op
pt407,5929988.4378,2243734.6572,171.4713,z
pt408,5929990.6432,2243730.6014,171.5408,z
pt409,5929994.4705,2243732.5885,171.2672,kj
pt410,5929994.4715,2243732.5898,171.2690,z
pt411,5929992.5566,2243736.5350,171.4385,z
pt412,5929992.5585,2243736.5389,171.4235,kj
pt413,5929991.7844,2243728.5312,171.4783,z
pt414,5929992.0389,2243728.6510,171.4459,z
pt415,5929989.2722,2243725.6461,171.3963,kj8
pt416,5929990.1301,2243725.9394,171.3961,dor
pt417,5929993.7159,2243722.9671,171.6159,op
pt418,5929997.1231,2243717.7321,171.5145,z
pt419,5929997.2087,2243717.8068,171.5034,z
pt420,5929994.6499,2243716.5278,171.4181,kj8
pt421,5929999.1213,2243713.8798,171.5887,z
pt422,5929999.2717,2243713.9333,171.5746,z
pt423,5930002.0486,2243707.2863,171.5355,z
pt424,5930001.6419,2243708.1734,171.5252,z
pt425,5930000.3962,2243708.7051,171.3851,ku
pt426,5930002.1531,2243704.9270,171.3231,ku
